NERs,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
#American Troops,5.032206119162641e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AusPol @ScottMorrisonMP,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Australia,0.00020128824476650564,0.0014945459696840912,0.0006150643451930356,0.000326797385620915,0.0010371487837073352,0.0015730172666081356,0.0006830601092896175,0.0004903162539838195,0.0009096376484739137,0.002227855880771299,0.0005636978579481398,0.0006557377049180328,0.0013866877971473852,0.0015195720884998785,0.0004758020663404024,0.001339046598821639,0.0004917629702483403,0.001082485386447283,0.001469802244788883,0.0008476491862567812,0.0013162672476397968,0.0008311564948943244,0.0002797463632972771,0.001327898215057748,0.0014116137311517482,0.003516624040920716,0.0007542843350229303,0.0007447704164238067,0.0004748338081671415,0.0035318475216173416,0.0005543237250554323,0.00036105011177715797,0.0004449388209121246,0.0006291946308724832,0.0005557871335278588
#Australia &amp,0.00015096618357487922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BorisJohnson's,0.00015096618357487922,0.00047811304717382063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cairns,0.00020128824476650564,0.00021249468763280918,,0.0001045751633986928,,,,0.00024515812699190976,0.0002255299954894001,,,,,,,,,,,,,,,,,,,,,0.00018268176835951772,,,,0.00016778523489932885,0.00010421008753647353
#Capitalism,0.001006441223832528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CaymanIslands,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Coronavirus | Tata Sons,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Estonia,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#February,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fiji,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FijiAirways,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HumanFuture - Commission,0.0007716049382716049,0.00010624734381640459,,,,,8.538251366120219e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ICYMI,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LosAngeles,6.709608158883521e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Morrison,0.00010064412238325282,,,4.901960784313725e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#New_Zealand,0.00015096618357487922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NewsCorp,0.00020128824476650564,,,,0.00018857250612860644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Oz,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pakistan,6.709608158883521e-05,,,,,7.316359379572725e-05,,,,,,,,,,,,,,,,,,,,0.00010656436487638534,,,,,,,,,
#Queensland,0.00020128824476650564,,,,,0.00021949078138718174,,,,,,,,,,,,,,,,,0.0002797463632972771,9.264406151565684e-05,,,,,,,,5.19318653926049e-05,,,
#ScottMorrison,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TAL,0.000503220611916264,,,,9.428625306430322e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TheShire,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wuhan,0.00040257648953301127,0.00010624734381640459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3096821877309682e-05,,,,
#ausbiz,0.00010064412238325282,,,6.5359477124183e-05,,,,,,,,,,,,,,,,,,,,0.00027793218454697053,,,,,0.00011870845204178538,,6.929046563192905e-05,,,,4.1684035014589416e-05
#auspol,0.008236044015029522,0.015211078056381923,0.005718521322230628,0.005047619047619046,0.011216921239549942,0.005322651448639157,0.0389344262295082,0.016016997630138106,0.0037212449255751017,0.005588845356072827,0.007572341225103344,0.00680145719489981,0.0022010917415037864,0.003363319555879731,0.004100960667029183,0.005177646848777004,0.010449963117777235,0.004582521469293498,0.004097630500623553,0.004671488848704038,0.005591866376180099,0.0031346473521728807,0.0073666542334949675,0.0037984065221419307,0.0021013795316008987,0.0031081273088945723,0.004812334057446295,0.005682922090538177,0.014601139601139602,0.0027250030446961393,0.001082086104951959,0.002539468217698379,0.0020615498702261773,0.004138702460850111,0.008192897834415132
#auspol  Australia,0.00040257648953301127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol #covid19australia,0.001006441223832528,,,,,,,,,,,,,,,,,,,,,,,,,,9.051412020275162e-05,,,,,,,,
#auspol #insiders,6.709608158883521e-05,0.00021249468763280918,0.00018925056775170325,,,,,,,,,0.0002185792349726776,,,,,,0.00021649707728945658,,,,,,,,,,,,,,,,,
#auspol @abcnews @chloebooker,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
