NERs,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
#American Troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AusPol @ScottMorrisonMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Australia,0.00015096618357487922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Australia &amp,0.0001845142243692968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BorisJohnson's,0.00016774020397208802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cairns,0.00016774020397208802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capitalism,0.0004528985507246376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CaymanIslands,0.0004361245303274288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Coronavirus | Tata Sons,0.00040257648953301116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Estonia,0.00013419216317767037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#February,0.00013419216317767037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fiji,0.000167740203972088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FijiAirways,0.000167740203972088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HumanFuture - Commission,0.0003913938092682053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ICYMI,0.0003578457684737877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LosAngeles,0.0003131150474145643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Morrison,8.946144211844692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#New_Zealand,0.00010623546251565571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NewsCorp,0.00015096618357487922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Oz,0.00015096618357487922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pakistan,0.00012300948291286452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Queensland,0.00012300948291286452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ScottMorrison,0.00015655752370728214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TAL,0.00030193236714975844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TheShire,0.00030193236714975844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wuhan,0.0003690284487385936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ausbiz,0.00023483628556092323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol,0.002913088208981929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039149113082039927,,,,
#auspol  Australia,0.002913088208981929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol #covid19australia,0.003215020576131687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol #insiders,0.0004920379316514581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol @abcnews @chloebooker,0.00039139380926820526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#australia,0.00019010556450169968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#blono,0.00018451422436929676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#coronavirus,0.000527822508498837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#coronavirus #toi,0.0004159957058507782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#covid19,0.0004215870459831812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#data,0.00011182680264805861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dismalscience,0.0001565575237072821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#echofirst L-,0.0001565575237072821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#emergency #Management,0.0001565575237072821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#family #homebaking - #mum's,0.0001565575237072821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#instafoodie,0.000167740203972088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#kiwis,0.000167740203972088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nancynicolson,0.00011741814278046156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#scomo,0.00015096618357487917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#techsafety,0.00010623546251565569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#viralmarketing,0.0001230094829128645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.0001230094829128645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7NewsAustralia,0.00013419216317767037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@J_C_Campbell,0.0002348362855609232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NRL,0.0001901055645016997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ProfDrKSchulte,0.00017892288423689383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SydneyAirport,7.827876185364102e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@UNSW,7.268742172123808e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@_AfricanUnion,0.0012580515297906604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@aadaddario,0.0012580515297906604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@abcnews 7PM TV,0.0013083735909822866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@abcnews Parliament House,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@afneil,0.00015655752370728198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@australian #auspol,0.0001453748434424761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@davidmweissman,0.0001901055645016996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@elonmusk,0.0001901055645016996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@maccas,0.00020128824476650547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mariahalasz,0.00020128824476650547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@murpharoo,0.00020128824476650547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@normanswan,0.00016774020397208788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ourANU,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rachael_mccully,7.268742172123797e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@the_shpa,5.5913401324029156e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,5.0322061191626226e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,0.00022365360529611716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC News,0.00036343710860619054,0.0005489446097180902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045873147763467664,,,
ABC Weekend Breakfast,0.0003690284487385935,,,,,,,,,,,,,,0.0014802730952812517,,,,,,,,,,,,,,,,,,,,
ABCaustralia,0.00019569690463410255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTU,0.00017333154410449086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,0.000304328655777931,,,,,,,,0.004021951586227635,0.0008501702901334151,,,,,,,,,,,,,,,,,,,,,,,,,
ANU,0.0003434680367047516,,,,,,0.00019922586520947178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,0.0003770160774991691,,,,,,0.00019922586520947178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAP,0.00031535158346752534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRC1,0.0002929862229379136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Bandt,0.00019234210055466079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani,0.00011741814278046145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide,0.00024042762569332602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide Airport,0.00024042762569332602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AerLingus,0.00025720164609053484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AfricUnion,8.107443191984237e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmadis,6.430041152263356e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed,5.870907139023063e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirCanada,6.709608158883502e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aireys Inlet,7.268742172123796e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Grant,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Jones,0.0001901055645016996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanis,0.0002348362855609231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albo,0.0001901055645016996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,0.0001230094829128644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,0.00013419216317767026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlikoDangote,0.00013419216317767026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllTogether,0.00013419216317767026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan,0.00016774020397208788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa,0.00020128824476650547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Jericho,0.00016774020397208788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,0.00016774020397208788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America,0.0004920379316514581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America🇺🇸,0.0008946144211844693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Shah,0.0008946144211844693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andr,0.0005703166935050991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews,0.0001677402039720879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngieNBC6 @NBC6Sports,0.0001677402039720879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnastaciaMP,0.0001677402039720879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Curtis,0.00020128824476650553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,0.00021470746108427253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquadex,0.00016997674002504904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramex,0.00012524601896582555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcIncubator,0.00011182680264805853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.00011182680264805853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadale,0.00013419216317767026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arseholes,0.00044730721059223444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen,0.0008051529790660222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assange,0.0011876006441223828,0.0004013788544175283,,,9.952437823454245e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,0.0008879048130255857,0.0003895735939934834,,,,,,,,,,,,,,,,,,,,,,,,,0.000472684849947703,,,,,,,,
Au,0.0006105743424584003,0.0003541578127213486,,0.00011328976034858372,,,0.00015653460837887067,,,,,,,,,,,,,,,,,,,,0.00017097111593853084,,,,,,,,
Au @Guardian,0.00021694399713723364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
