NERs,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
#American Troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AusPol @ScottMorrisonMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Australia,8.716036672548697e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Australia &amp,2.9053455575162347e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BorisJohnson's,2.9053455575162347e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cairns,2.9053455575162347e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capitalism,0.00048004186866794764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CaymanIslands,0.0004964656664972068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Coronavirus | Tata Sons,0.0005229622003529218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Estonia,5.810691115032432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#February,5.810691115032432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fiji,5.810691115032432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FijiAirways,5.810691115032432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HumanFuture - Commission,0.0003292724965185063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ICYMI,0.0003618422277545946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LosAngeles,0.00039741804535509167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Morrison,1.936897038344106e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#New_Zealand,4.221369227092677e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NewsCorp,5.032206119162626e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Oz,5.032206119162626e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pakistan,6.983581587044179e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Queensland,6.983581587044179e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ScottMorrison,7.747588153376611e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TAL,0.00017432073345097397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TheShire,0.00017432073345097397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wuhan,0.0001537364363578852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ausbiz,0.0001537364363578851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol,0.004612286274011513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005985186103227362,,,,
#auspol  Australia,0.004612286274011513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol #covid19australia,0.004358803784847827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol #insiders,0.0004760197856010269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#auspol @abcnews @chloebooker,0.0005329107424156385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#australia,0.00018476820139850823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#blono,0.00019051624885268672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#coronavirus,0.0005509067729888705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#coronavirus #toi,0.0006188954349746925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#covid19,0.0006139963611551034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#data,7.74758815338172e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dismalscience,7.747588153381688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#echofirst L-,7.747588153381688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#emergency #Management,7.747588153381688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#family #homebaking - #mum's,7.747588153381688e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#instafoodie,5.8106911150392104e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#kiwis,5.8106911150392104e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nancynicolson,7.686821817899392e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#scomo,8.716036672553206e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#techsafety,8.274427774958224e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#viralmarketing,6.983581587049838e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,6.983581587049838e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7NewsAustralia,5.810691115039241e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@J_C_Campbell,0.00015373643635791038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NRL,0.00018476820139850817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ProfDrKSchulte,0.0001936897038344357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SydneyAirport,1.9368970383646225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@UNSW,2.5622739393135687e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@_AfricanUnion,0.0020484231518767756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@aadaddario,0.0020484231518767756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@abcnews 7PM TV,0.0020053199320824574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@abcnews Parliament House,6.983581587050099e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@afneil,7.747588153381918e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@australian #auspol,6.98358158705008e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@davidmweissman,1.9368970383652415e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@elonmusk,1.9368970383652415e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@maccas,9.030914873827252e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mariahalasz,9.030914873827252e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@murpharoo,9.030914873827252e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@normanswan,5.810691115039518e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ourANU,6.983581587050096e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rachael_mccully,2.5622739393142866e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@the_shpa,9.684485192150387e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,9.125371308208999e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,0.00030021904094335754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC News,0.00027579536713050564,0.0004149091413040084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005806804153759697,,,
ABC Weekend Breakfast,0.0002662793187464512,,,,,,,,,,,,,,0.0013151612924318917,,,,,,,,,,,,,,,,,,,,
ABCaustralia,0.00023741807283909991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTU,0.00019870902267756635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,0.00022184767128211183,,,,,,,,0.006673490619229133,0.000581082398831458,,,,,,,,,,,,,,,,,,,,,,,,,
ANU,0.00015487762937553844,,,,,,0.00013042394395935335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,0.00018251688021865382,,,,,,0.00013042394395935335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAP,0.00017132508500812462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRC1,0.00020188377341917818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Bandt,8.75683125356157e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani,7.686821817899575e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide,0.00021239734202478392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide Airport,0.00021239734202478392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AerLingus,0.00019076223507373714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,6.983581587050028e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AfricUnion,1.74589539678448e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmadis,1.2811369696810295e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed,1.4526727787863418e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirCanada,2.905345557530333e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aireys Inlet,2.5622739393140647e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Grant,6.983581587050025e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Jones,0.00011781684729888855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanis,5.810691115039396e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albo,0.00011781684729888853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex,6.983581587050021e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,6.983581587050021e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlikoDangote,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllTogether,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan,5.810691115039437e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa,8.983303432517092e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Jericho,5.810691115039438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,5.810691115039438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America,0.0005928930104585665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America🇺🇸,0.0006041752844534011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Shah,0.0006041752844534011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andr,0.0006391760226535771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngieNBC6 @NBC6Sports,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnastaciaMP,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Curtis,8.93529365626101e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,2.3242764460301406e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquadex,9.134271719749477e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramex,0.00010071864599393595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcIncubator,7.747588153381812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,7.747588153381812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadale,6.709608158889505e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arseholes,0.0006013745598384726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen,0.0005810691115032528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assange,8.134967561050039e-05,0.00039010982768707337,,,4.536349465629719e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,0.0005641792416564555,0.0004022459516787274,,,,,,,,,,,,,,,,,,,,,,,,,0.0006126596834225615,,,,,,,,
